Date,NumberOfTrips,SumDuration,AverangeDuration,TripsForGenders
2015-02-01,6441,4110319,638.1492004347151,"{1: 4897, 2: 1359, 0: 185}"
2015-02-02,1459,1343538,920.8622344071282,"{1: 1245, 2: 203, 0: 11}"
2015-02-03,4754,3647385,767.224442574674,"{1: 4092, 2: 653, 0: 9}"
2015-02-04,8973,6259175,697.5565585645826,"{1: 7457, 2: 1476, 0: 40}"
2015-02-05,9208,5740237,623.3967202432667,"{1: 7752, 2: 1427, 0: 29}"
2015-02-06,8575,5463278,637.1169679300292,"{1: 7145, 2: 1381, 0: 49}"
2015-02-07,6790,4661069,686.4608247422681,"{1: 5217, 2: 1349, 0: 224}"
2015-02-08,6662,4443139,666.9377063944761,"{1: 5099, 2: 1371, 0: 192}"
2015-02-09,5160,3271088,633.9317829457365,"{1: 4311, 2: 798, 0: 51}"
2015-02-10,10328,6591894,638.254647560031,"{1: 8517, 2: 1718, 0: 93}"
2015-02-11,11439,7424144,649.0203689133665,"{1: 9377, 2: 1948, 0: 114}"
2015-02-12,11269,7300488,647.8381400301713,"{1: 9304, 2: 1853, 0: 112}"
2015-02-13,7642,4761355,623.0509029049987,"{1: 6337, 2: 1225, 0: 80}"
2015-02-14,4614,2887657,625.8467706978761,"{1: 3569, 2: 939, 0: 106}"
2015-02-15,2581,1470805,569.8585819449826,"{1: 2059, 2: 489, 0: 33}"
2015-02-16,3998,2382051,595.8106553276639,"{1: 3301, 2: 653, 0: 44}"
2015-02-17,4784,3106012,649.25,"{1: 4047, 2: 706, 0: 31}"
2015-02-18,9170,5941907,647.9724100327154,"{1: 7553, 2: 1537, 0: 80}"
2015-02-19,7799,4644577,595.5349403769715,"{1: 6557, 2: 1209, 0: 33}"
2015-02-20,6159,3712675,602.8048384478,"{1: 5191, 2: 940, 0: 28}"
2015-02-21,3157,1865566,590.9299968324359,"{1: 2465, 2: 645, 0: 47}"
2015-02-22,4274,3064653,717.0456247075339,"{1: 3386, 2: 792, 0: 96}"
2015-02-23,7458,4713068,631.9479753285063,"{1: 6280, 2: 1133, 0: 45}"
2015-02-24,7402,4773339,644.8715212104837,"{1: 6230, 2: 1123, 0: 49}"
2015-02-25,10751,7003763,651.4522370012091,"{1: 8841, 2: 1794, 0: 116}"
2015-02-26,9901,6688204,675.5079284920715,"{1: 8238, 2: 1592, 0: 71}"
2015-02-27,9864,6508479,659.8214720194647,"{1: 8152, 2: 1550, 0: 162}"
2015-02-28,6318,4103170,649.4412788857234,"{1: 4944, 2: 1201, 0: 173}"
2015-01-01,5317,4263206,801.8066578897875,"{1: 3584, 2: 1067, 0: 666}"
2015-01-02,11304,8265948,731.2409766454352,"{1: 8488, 2: 2174, 0: 642}"
2015-01-03,4478,2934363,655.2842786958464,"{1: 3215, 2: 1037, 0: 226}"
2015-01-04,7849,5333821,679.5542107274812,"{1: 5734, 2: 1722, 0: 393}"
2015-01-05,14506,9252098,637.8118020129601,"{1: 11785, 2: 2471, 0: 250}"
2015-01-06,8739,5548587,634.9224167524889,"{1: 7354, 2: 1364, 0: 21}"
2015-01-07,9646,5683529,589.210968277006,"{1: 8006, 2: 1604, 0: 36}"
2015-01-08,8779,5231063,595.8609181000114,"{1: 7282, 2: 1451, 0: 46}"
2015-01-09,7930,5048697,636.6578814627995,"{1: 6680, 2: 1211, 0: 39}"
2015-01-10,6109,3641121,596.0256997871992,"{1: 4766, 2: 1268, 0: 75}"
2015-01-11,7467,4652482,623.0724521226731,"{1: 5614, 2: 1681, 0: 172}"
2015-01-12,8645,5391780,623.6876807403123,"{1: 7147, 2: 1438, 0: 60}"
2015-01-13,12797,7914786,618.487614284598,"{1: 10464, 2: 2259, 0: 74}"
2015-01-14,13086,8152950,623.0284273269143,"{1: 10624, 2: 2342, 0: 120}"
2015-01-15,14075,8915114,633.4006394316164,"{1: 11404, 2: 2487, 0: 184}"
2015-01-16,13843,8657008,625.3708011269233,"{1: 11153, 2: 2456, 0: 234}"
2015-01-17,7491,4923427,657.2456280870377,"{1: 5506, 2: 1668, 0: 317}"
2015-01-18,1795,1298636,723.4740947075209,"{1: 1439, 2: 329, 0: 27}"
2015-01-19,10710,7408393,691.7267040149393,"{1: 8225, 2: 2177, 0: 308}"
2015-01-20,16129,10449450,647.8671957343914,"{1: 12986, 2: 2887, 0: 256}"
2015-01-21,15234,9549420,626.8491532099251,"{1: 12279, 2: 2785, 0: 170}"
2015-01-22,15864,10161582,640.5434947049924,"{1: 12763, 2: 2902, 0: 199}"
2015-01-23,15737,10064764,639.5605261485671,"{1: 12596, 2: 2831, 0: 310}"
2015-01-24,4814,3034281,630.3034898213543,"{1: 3796, 2: 906, 0: 112}"
2015-01-25,9379,6764796,721.2704979208871,"{1: 6892, 2: 2058, 0: 429}"
2015-01-26,4141,2754238,665.1142236174837,"{1: 3489, 2: 628, 0: 24}"
2015-01-27,1214,1160913,956.2710049423393,"{1: 1046, 2: 139, 0: 29}"
2015-01-28,5401,4593319,850.4571375671172,"{1: 4590, 2: 778, 0: 33}"
2015-01-29,8870,6669423,751.9078917700112,"{1: 7347, 2: 1430, 0: 93}"
2015-01-30,9015,5873039,651.4740987243483,"{1: 7421, 2: 1514, 0: 80}"
2015-01-31,5188,3251745,626.7819969159599,"{1: 4089, 2: 1029, 0: 70}"
